postal,LULA,JB,state_total_votes,total_LJB,percent_Lula
pi,1518008,406897,2044386,1924905,74.25251395773597
ba,5873081,2047599,8423008,7920680,69.72664634771806
ma,2603454,983861,3781645,3587315,68.84448434477588
ce,3578355,1377827,5429264,4956182,65.9086572323615
pe,3558322,1630938,5452009,5189260,65.26625322885565
pb,1554868,717416,2421688,2272284,64.20595881880737
se,828716,378610,1298432,1207326,63.82436662066247
rn,1264179,622731,2007264,1886910,62.980205892199535
al,974156,621515,1724217,1595671,56.49845698076285
pa,2443730,1884673,4679936,4328403,52.217167072370216
to,434303,379194,861792,813497,50.395339014518584
am,1019684,880198,2056676,1899882,49.579223951657916
mg,5802571,5239264,12016633,11041835,48.28782738059821
ap,197382,187621,432161,385003,45.67325603189552
rs,2806672,3245023,6637752,6051695,42.283471874212836
sp,10490032,12239989,25656334,22730021,40.88671436846745
rj,3847143,4831246,9456677,8678389,40.68176379504133
es,897348,1160030,2221130,2057378,40.40051685403376
go,1454723,1920203,3681469,3374926,39.514742620405066
ms,588323,794206,1506989,1382529,39.03963466223045
df,649534,910397,1762575,1559931,36.85142476206686
pr,2363492,3628612,6566764,5992104,35.99173047790358
mt,633748,1102866,1842888,1736614,34.38885054327773
sc,1279216,2694406,4330984,3973622,29.5363824941399
ac,129022,275582,440917,404604,29.262196739976005
ro,261749,581306,903235,843055,28.979058606010614
rr,68760,207587,298369,276347,23.045289557561276
