postal,nm,vap
mg,FELIPE D&apos;AVILA,98526
mg,SORAYA THRONICKE,44109
mg,SOFIA MANZANO,4431
ms,CIRO GOMES,29314
ms,LULA,588323
ms,PADRE KELMON,1057
ms,SIMONE TEBET,79719
ms,VERA,222
ms,LÉO PÉRICLES,350
ms,JAIR BOLSONARO,794206
ms,CONSTITUINTE EYMAEL,152
ms,FELIPE D&apos;AVILA,5193
ms,SORAYA THRONICKE,8082
ms,SOFIA MANZANO,371
mt,CIRO GOMES,29437
mt,LULA,633748
mt,PADRE KELMON,2545
mt,SIMONE TEBET,55989
mt,VERA,250
mt,LÉO PÉRICLES,366
mt,JAIR BOLSONARO,1102866
mt,CONSTITUINTE EYMAEL,195
mt,FELIPE D&apos;AVILA,4371
mt,SORAYA THRONICKE,12715
mt,SOFIA MANZANO,406
ma,CIRO GOMES,96095
ma,LULA,2603454
ma,PADRE KELMON,4357
ma,SIMONE TEBET,78254
ma,VERA,799
ma,LÉO PÉRICLES,630
ma,JAIR BOLSONARO,983861
ma,CONSTITUINTE EYMAEL,391
ma,FELIPE D&apos;AVILA,4368
ma,SORAYA THRONICKE,8709
ma,SOFIA MANZANO,727
go,CIRO GOMES,90695
go,LULA,1454723
go,PADRE KELMON,2303
go,SIMONE TEBET,170742
go,VERA,498
go,LÉO PÉRICLES,1120
go,JAIR BOLSONARO,1920203
go,CONSTITUINTE EYMAEL,397
go,FELIPE D&apos;AVILA,11145
go,SORAYA THRONICKE,28570
go,SOFIA MANZANO,1073
es,CIRO GOMES,56221
es,LULA,897348
es,PADRE KELMON,1752
es,SIMONE TEBET,85325
es,VERA,437
es,LÉO PÉRICLES,672
es,JAIR BOLSONARO,1160030
es,CONSTITUINTE EYMAEL,377
es,FELIPE D&apos;AVILA,8341
es,SORAYA THRONICKE,9944
es,SOFIA MANZANO,683
df,CIRO GOMES,74308
df,LULA,649534
df,PADRE KELMON,1554
df,SIMONE TEBET,105377
df,VERA,454
df,LÉO PÉRICLES,1262
df,JAIR BOLSONARO,910397
df,CONSTITUINTE EYMAEL,518
df,FELIPE D&apos;AVILA,10342
df,SORAYA THRONICKE,7935
df,SOFIA MANZANO,894
ce,CIRO GOMES,369222
ce,LULA,3578355
ce,PADRE KELMON,2278
